Designator,Mid X,Mid Y,Rotation,Layer
BT1,137.224287,-75.0,0.0,top
D1,154.564287,-58.541925,0.0,top
D2,126.564287,-57.541925,0.0,top
D3,113.84,-84.541925,0.0,top
D4,164.827637,-78.541925,0.0,top
D5,149.54,-98.541925,0.0,top
M1,142.832637,-89.311925,0.0,top
R1,163.332637,-88.5,0.0,top
R2,122.834287,-66.541925,0.0,top
R3,125.022637,-88.541925,0.0,top
R4,149.484287,-64.0,0.0,top
R5,140.31,-101.041925,270.0,top
R6,114.11,-54.041925,0.0,top
R8,150.332637,-86.041925,0.0,top
SW1,110.61,-95.041925,0.0,top
